Roll: 171.67, Pitch:  67.73, Yaw:  46.43| 
Roll: 171.21, Pitch:  68.01, Yaw:  46.63| 
Roll: 170.79, Pitch:  68.34, Yaw:  46.94| 
Roll: 170.33, Pitch:  68.70, Yaw:  47.30| 
Roll: 169.84, Pitch:  69.11, Yaw:  47.73| 
Roll: 169.43, Pitch:  69.51, Yaw:  48.30| 
Roll: 169.15, Pitch:  69.89, Yaw:  49.00| 
Roll: 169.00, Pitch:  70.24, Yaw:  49.76| 
Roll: 168.92, Pitch:  70.60, Yaw:  50.56| 
Roll: 168.84, Pitch:  71.00, Yaw:  51.46| 
Roll: 168.73, Pitch:  71.47, Yaw:  52.50| 
Roll: 168.58, Pitch:  72.04, Yaw:  53.64| 
Roll: 168.45, Pitch:  72.68, Yaw:  54.90| 
Roll: 168.32, Pitch:  73.38, Yaw:  56.19| 
Roll: 168.22, Pitch:  74.08, Yaw:  57.54| 
Roll: 168.28, Pitch:  74.78, Yaw:  59.10| 
Roll: 168.56, Pitch:  75.49, Yaw:  60.89| 
Roll: 169.02, Pitch:  76.12, Yaw:  62.79| 
Roll: 169.49, Pitch:  76.67, Yaw:  64.62| 
Roll: 169.86, Pitch:  77.18, Yaw:  66.29| 
Roll: 170.20, Pitch:  77.65, Yaw:  67.92| 
Roll: 170.58, Pitch:  78.09, Yaw:  69.59| 
Roll: 177.28, Pitch:  82.52, Yaw:-177.85| 
Roll: 178.77, Pitch:  82.93, Yaw:-175.21| 
Roll:-179.48, Pitch:  83.28, Yaw:-172.38| 
Roll:-177.68, Pitch:  83.53, Yaw:-169.58| 
Roll:-175.81, Pitch:  83.76, Yaw:-166.79| 
Roll:-173.86, Pitch:  83.96, Yaw:-163.95| 
Roll:-171.71, Pitch:  84.14, Yaw:-160.96| 
Roll:-169.41, Pitch:  84.26, Yaw:-157.86| 
Roll:-166.83, Pitch:  84.35, Yaw:-154.46| 
Roll:-163.75, Pitch:  84.43, Yaw:-150.55| 
Roll:-160.06, Pitch:  84.51, Yaw:-146.01| 
Roll:-156.23, Pitch:  84.56, Yaw:-141.30| 
Roll:-152.15, Pitch:  84.58, Yaw:-136.32| 
Roll:-148.02, Pitch:  84.57, Yaw:-131.27| 
Roll:-143.78, Pitch:  84.53, Yaw:-126.10| 
Roll:-139.92, Pitch:  84.44, Yaw:-121.29| 
Roll:-136.38, Pitch:  84.31, Yaw:-116.81| 
Roll:-133.21, Pitch:  84.14, Yaw:-112.68| 
Roll:-130.30, Pitch:  83.95, Yaw:-108.84| 
Roll:-127.90, Pitch:  83.75, Yaw:-105.48| 
Roll:-125.62, Pitch:  83.54, Yaw:-102.21| 
Roll:-123.32, Pitch:  83.31, Yaw: -98.85| 
Roll:-120.84, Pitch:  83.07, Yaw: -95.30| 
Roll:-118.37, Pitch:  82.81, Yaw: -91.75| 
Roll:-115.75, Pitch:  82.54, Yaw: -88.04| 
Roll:-113.25, Pitch:  82.26, Yaw: -84.50| 
Roll:-111.50, Pitch:  81.96, Yaw: -81.76| 
Roll:-110.32, Pitch:  81.66, Yaw: -79.62| 
Roll:-109.53, Pitch:  81.36, Yaw: -77.94| 
Roll:-109.04, Pitch:  81.10, Yaw: -76.61| 
Roll:-108.82, Pitch:  80.87, Yaw: -75.59| 
Roll:-108.54, Pitch:  80.66, Yaw: -74.55| 
Roll:-108.43, Pitch:  80.46, Yaw: -73.72| 
Roll:-108.37, Pitch:  80.27, Yaw: -72.95| 
Roll:-108.17, Pitch:  80.07, Yaw: -72.02| 
Roll:-107.78, Pitch:  79.88, Yaw: -70.89| 
Roll:-107.33, Pitch:  79.70, Yaw: -69.72| 
Roll:-106.84, Pitch:  79.53, Yaw: -68.57| 
Roll:-106.29, Pitch:  79.36, Yaw: -67.36| 
Roll:-105.70, Pitch:  79.18, Yaw: -66.16| 
Roll:-105.20, Pitch:  78.99, Yaw: -65.07| 
Roll:-104.85, Pitch:  78.80, Yaw: -64.14| 
Roll:-104.48, Pitch:  78.61, Yaw: -63.18| 
