Roll: 116.23, Pitch:   2.66, Yaw:   6.68| 
Roll: 116.49, Pitch:   2.63, Yaw:   6.18| 
Roll: 116.71, Pitch:   2.59, Yaw:   5.73| 
Roll: 116.88, Pitch:   2.55, Yaw:   5.26| 
Roll: 117.06, Pitch:   2.51, Yaw:   4.81| 
Roll: 117.21, Pitch:   2.47, Yaw:   4.36| 
Roll: 117.35, Pitch:   2.44, Yaw:   3.91| 
Roll: 117.53, Pitch:   2.42, Yaw:   3.46| 
Roll: 117.75, Pitch:   2.40, Yaw:   3.01| 
Roll: 117.96, Pitch:   2.37, Yaw:   2.57| 
Roll: 118.17, Pitch:   2.34, Yaw:   2.14| 
Roll: 118.39, Pitch:   2.31, Yaw:   1.73| 
Roll: 118.60, Pitch:   2.28, Yaw:   1.32| 
Roll: 118.74, Pitch:   2.29, Yaw:   0.90| 
Roll: 118.86, Pitch:   2.33, Yaw:   0.47| 
Roll: 119.08, Pitch:   2.36, Yaw:   0.02| 
Roll: 119.37, Pitch:   2.37, Yaw:  -0.42| 
Roll: 119.65, Pitch:   2.36, Yaw:  -0.84| 
Roll: 119.86, Pitch:   2.36, Yaw:  -1.23| 
Roll: 120.00, Pitch:   2.41, Yaw:  -1.66| 
Roll: 120.15, Pitch:   2.46, Yaw:  -2.09| 
Roll: 120.32, Pitch:   2.49, Yaw:  -2.46| 
Roll: 120.48, Pitch:   2.52, Yaw:  -2.82| 
Roll: 120.60, Pitch:   2.54, Yaw:  -3.18| 
Roll: 120.70, Pitch:   2.53, Yaw:  -3.50| 
Roll: 120.75, Pitch:   2.52, Yaw:  -3.79| 
Roll: 120.81, Pitch:   2.53, Yaw:  -4.06| 
Roll: 120.90, Pitch:   2.52, Yaw:  -4.31| 
Roll: 120.99, Pitch:   2.50, Yaw:  -4.51| 
Roll: 121.01, Pitch:   2.47, Yaw:  -4.64| 
Roll: 120.97, Pitch:   2.42, Yaw:  -4.69| 
Roll: 120.90, Pitch:   2.36, Yaw:  -4.67| 
Roll: 120.80, Pitch:   2.29, Yaw:  -4.57| 
Roll: 120.66, Pitch:   2.23, Yaw:  -4.39| 
Roll: 120.58, Pitch:   2.16, Yaw:  -4.15| 
Roll: 120.49, Pitch:   2.09, Yaw:  -3.89| 
Roll: 120.39, Pitch:   2.00, Yaw:  -3.59| 
Roll: 120.32, Pitch:   1.91, Yaw:  -3.24| 
Roll: 120.25, Pitch:   1.80, Yaw:  -2.87| 
Roll: 120.18, Pitch:   1.69, Yaw:  -2.49| 
Roll: 120.17, Pitch:   1.56, Yaw:  -2.06| 
Roll: 120.13, Pitch:   1.42, Yaw:  -1.57| 
Roll: 120.01, Pitch:   1.30, Yaw:  -1.03| 
Roll: 119.87, Pitch:   1.18, Yaw:  -0.45| 
Roll: 119.71, Pitch:   1.06, Yaw:   0.18| 
Roll: 119.55, Pitch:   0.94, Yaw:   0.87| 
Roll: 119.39, Pitch:   0.83, Yaw:   1.61| 
Roll: 119.25, Pitch:   0.69, Yaw:   2.39| 
Roll: 119.03, Pitch:   0.56, Yaw:   3.24| 
Roll: 118.75, Pitch:   0.48, Yaw:   4.14| 
Roll: 117.17, Pitch:   0.27, Yaw:   1.91| 
Roll: 116.90, Pitch:   0.26, Yaw:   2.95| 
Roll: 116.57, Pitch:   0.29, Yaw:   3.99| 
Roll: 116.27, Pitch:   0.33, Yaw:   5.04| 
Roll: 115.92, Pitch:   0.38, Yaw:   6.12| 
Roll: 115.53, Pitch:   0.44, Yaw:   7.23| 
Roll: 115.16, Pitch:   0.49, Yaw:   8.37| 
Roll: 114.85, Pitch:   0.51, Yaw:   9.51| 
Roll: 114.56, Pitch:   0.52, Yaw:  10.69| 
Roll: 114.19, Pitch:   0.56, Yaw:  11.87| 
Roll: 113.83, Pitch:   0.62, Yaw:  13.06| 
Roll: 113.48, Pitch:   0.68, Yaw:  14.25| 
Roll: 113.14, Pitch:   0.76, Yaw:  15.42| 
Roll: 112.82, Pitch:   0.84, Yaw:  16.60| 
Roll: 112.53, Pitch:   0.91, Yaw:  17.78| 
Roll: 112.21, Pitch:   0.99, Yaw:  18.94| 
Roll: 111.96, Pitch:   1.06, Yaw:  20.04| 
Roll: 111.74, Pitch:   1.14, Yaw:  21.12| 
Roll: 111.57, Pitch:   1.21, Yaw:  22.21| 
Roll: 111.39, Pitch:   1.28, Yaw:  23.33| 
Roll: 111.15, Pitch:   1.37, Yaw:  24.40| 
Roll: 110.90, Pitch:   1.47, Yaw:  25.43| 
Roll: 110.72, Pitch:   1.54, Yaw:  26.41| 
Roll: 110.60, Pitch:   1.60, Yaw:  27.39| 
Roll: 110.52, Pitch:   1.65, Yaw:  28.37| 
Roll: 110.42, Pitch:   1.71, Yaw:  29.30| 
Roll: 110.30, Pitch:   1.77, Yaw:  30.17| 
Roll: 110.15, Pitch:   1.86, Yaw:  31.01| 
Roll: 110.03, Pitch:   1.95, Yaw:  31.82| 
Roll: 110.02, Pitch:   2.00, Yaw:  32.61| 
Roll: 109.98, Pitch:   2.04, Yaw:  33.35| 
Roll: 109.90, Pitch:   2.10, Yaw:  34.03| 
Roll: 109.84, Pitch:   2.17, Yaw:  34.68| 
Roll: 109.78, Pitch:   2.25, Yaw:  35.36| 
Roll: 109.69, Pitch:   2.34, Yaw:  36.04| 
Roll: 109.61, Pitch:   2.42, Yaw:  36.68| 
Roll: 109.52, Pitch:   2.49, Yaw:  37.31| 
Roll: 109.42, Pitch:   2.56, Yaw:  37.97| 
Roll: 109.35, Pitch:   2.63, Yaw:  38.65| 
Roll: 109.29, Pitch:   2.72, Yaw:  39.37| 
Roll: 109.17, Pitch:   2.86, Yaw:  40.12| 
Roll: 108.98, Pitch:   3.05, Yaw:  40.94| 
Roll: 108.71, Pitch:   3.28, Yaw:  41.79| 
Roll: 108.46, Pitch:   3.50, Yaw:  42.62| 
Roll: 108.26, Pitch:   3.70, Yaw:  43.44| 
Roll: 108.11, Pitch:   3.88, Yaw:  44.27| 
Roll: 108.04, Pitch:   4.05, Yaw:  45.13| 
Roll: 108.01, Pitch:   4.21, Yaw:  45.98| 
Roll: 107.94, Pitch:   4.39, Yaw:  46.82| 
Roll: 107.83, Pitch:   4.59, Yaw:  47.70| 
Roll: 107.72, Pitch:   4.81, Yaw:  48.64| 
Roll: 107.58, Pitch:   5.03, Yaw:  49.61| 
Roll: 107.41, Pitch:   5.29, Yaw:  50.62| 
Roll: 107.20, Pitch:   5.58, Yaw:  51.69| 
Roll: 106.97, Pitch:   5.88, Yaw:  52.78| 
Roll: 106.78, Pitch:   6.15, Yaw:  53.87| 
Roll: 106.66, Pitch:   6.39, Yaw:  54.98| 
Roll: 106.58, Pitch:   6.61, Yaw:  56.10| 
Roll: 106.48, Pitch:   6.85, Yaw:  57.23| 
Roll: 106.40, Pitch:   7.11, Yaw:  58.35| 
Roll: 106.33, Pitch:   7.38, Yaw:  59.48| 
Roll: 106.30, Pitch:   7.65, Yaw:  60.59| 
Roll: 106.28, Pitch:   7.93, Yaw:  61.69| 
Roll: 106.27, Pitch:   8.22, Yaw:  62.76| 
Roll: 106.24, Pitch:   8.51, Yaw:  63.82| 
Roll: 106.22, Pitch:   8.80, Yaw:  64.83| 
Roll: 106.25, Pitch:   9.05, Yaw:  65.80| 
Roll: 106.31, Pitch:   9.28, Yaw:  66.74| 
Roll: 106.42, Pitch:   9.48, Yaw:  67.64| 
Roll: 106.52, Pitch:   9.67, Yaw:  68.52| 
Roll: 106.62, Pitch:   9.83, Yaw:  69.35| 
Roll: 106.74, Pitch:   9.96, Yaw:  70.17| 
Roll: 106.89, Pitch:  10.09, Yaw:  71.00| 
Roll: 107.03, Pitch:  10.22, Yaw:  71.83| 
Roll: 107.15, Pitch:  10.35, Yaw:  72.67| 
Roll: 107.25, Pitch:  10.51, Yaw:  73.50| 
Roll: 107.36, Pitch:  10.67, Yaw:  74.35| 
Roll: 107.47, Pitch:  10.85, Yaw:  75.22| 
Roll: 107.59, Pitch:  11.03, Yaw:  76.10| 
Roll: 107.75, Pitch:  11.21, Yaw:  76.95| 
Roll: 107.92, Pitch:  11.39, Yaw:  77.77| 
Roll: 108.12, Pitch:  11.57, Yaw:  78.60| 
Roll: 108.36, Pitch:  11.74, Yaw:  79.41| 
Roll: 108.63, Pitch:  11.87, Yaw:  80.21| 
Roll: 108.91, Pitch:  11.98, Yaw:  80.99| 
Roll: 109.18, Pitch:  12.08, Yaw:  81.73| 
Roll: 109.43, Pitch:  12.17, Yaw:  82.46| 
Roll: 109.66, Pitch:  12.28, Yaw:  83.17| 
Roll: 109.89, Pitch:  12.38, Yaw:  83.87| 
Roll: 110.10, Pitch:  12.47, Yaw:  84.55| 
Roll: 110.27, Pitch:  12.58, Yaw:  85.22| 
Roll: 110.44, Pitch:  12.71, Yaw:  85.90| 
Roll: 110.60, Pitch:  12.84, Yaw:  86.60| 
Roll: 110.73, Pitch:  12.99, Yaw:  87.31| 
Roll: 110.83, Pitch:  13.15, Yaw:  88.06| 
Roll: 110.93, Pitch:  13.31, Yaw:  88.85| 
Roll: 111.07, Pitch:  13.46, Yaw:  89.66| 
Roll: 111.21, Pitch:  13.62, Yaw:  90.49| 
Roll: 111.27, Pitch:  13.82, Yaw:  91.30| 
Roll: 111.31, Pitch:  14.03, Yaw:  92.06| 
Roll: 111.35, Pitch:  14.25, Yaw:  92.79| 
Roll: 111.45, Pitch:  14.47, Yaw:  93.49| 
Roll: 111.56, Pitch:  14.66, Yaw:  94.15| 
Roll: 111.68, Pitch:  14.84, Yaw:  94.81| 
Roll: 111.80, Pitch:  15.04, Yaw:  95.43| 
Roll: 111.91, Pitch:  15.20, Yaw:  96.07| 
Roll: 112.03, Pitch:  15.33, Yaw:  96.67| 
Roll: 112.14, Pitch:  15.44, Yaw:  97.25| 
Roll: 112.28, Pitch:  15.53, Yaw:  97.81| 
Roll: 112.42, Pitch:  15.62, Yaw:  98.37| 
Roll: 112.57, Pitch:  15.71, Yaw:  98.92| 
Roll: 112.75, Pitch:  15.80, Yaw:  99.48| 
